what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485205289967
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485205298576
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485205309151
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485205316688
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485205323441
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485205359101
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1485205359435
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1485205359615
opened,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1485205359707
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1485205359800
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1485205359894
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485205362009
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485205366428
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1485205368274
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1485205369592
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485205375397
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485205381944
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485205382787
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485205425027
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485205430572
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485205435660
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485205436051
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485205737666
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485205741413
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1485205742625
